City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Nome,US,1,1582761312,50,64.5,-165.41,10.0,6.8
Ahipara,NZ,63,1582761312,80,-35.17,173.17,68.18,10.6
Faya,SA,19,1582761312,32,18.39,42.45,59.0,3.36
Aktash,RU,85,1582761312,82,50.3,87.73,6.84,6.35
Mataura,NZ,96,1582761313,72,-46.19,168.86,63.0,18.01
Mackay,AU,90,1582761313,79,-21.15,149.2,91.99,2.24
Altay,CN,34,1582761313,63,47.87,88.12,20.75,5.26
Arrondissement de Saint-Quentin,FR,75,1582761313,93,49.83,3.33,35.6,9.17
Tuktoyaktuk,CA,90,1582761313,75,69.45,-133.04,-16.6,5.82
Belaya Gora,RU,96,1582761313,86,68.53,146.42,10.31,13.87
Saskylakh,RU,48,1582761313,86,71.92,114.08,8.51,15.3
Palmer,US,90,1582761313,70,42.16,-72.33,48.99,4.7
Svetlaya,RU,0,1582761314,65,46.54,138.33,19.92,5.64
Rikitea,PF,100,1582761314,72,-23.12,-134.97,80.87,9.48
Grand Gaube,MU,75,1582761314,88,-20.01,57.66,80.6,6.93
Lethem,GY,10,1582761314,36,3.38,-59.8,88.12,14.81
Jamestown,US,90,1582761154,93,42.1,-79.24,41.0,2.17
Ushuaia,AR,40,1582761314,61,-54.8,-68.3,50.0,42.5
Talgar,KZ,90,1582761314,66,43.3,77.24,50.0,22.37
Butaritari,KI,77,1582761314,79,3.07,172.79,84.2,14.58
Geraldton,AU,40,1582761315,83,-28.77,114.6,73.4,10.29
Kapaa,US,20,1582761315,61,22.08,-159.32,80.6,18.34
Srednekolymsk,RU,94,1582761315,95,67.45,153.68,-3.21,18.1
Chu,KZ,100,1582761315,88,43.6,73.76,30.99,1.99
Owando,CG,99,1582761315,92,-0.48,15.9,74.98,5.91
La Providencia,MX,5,1582761315,48,28.72,-111.58,82.4,3.36
Longyearbyen,SJ,20,1582761316,63,78.22,15.64,-5.8,5.82
Sumbe,AO,98,1582761316,82,-11.21,13.84,75.51,2.53
Barrow,US,1,1582761316,67,71.29,-156.79,-25.6,4.7
Mogadishu,SO,100,1582761316,83,2.04,45.34,81.68,19.84
Airai,TL,100,1582761316,70,-8.93,125.41,76.51,2.35
Busselton,AU,100,1582761316,53,-33.65,115.33,69.01,15.41
Castro,BR,83,1582761316,90,-24.79,-50.01,60.85,2.15
Severo-Yeniseyskiy,RU,65,1582761316,99,60.37,93.04,-1.35,1.81
Punta Arenas,CL,20,1582761303,58,-53.15,-70.92,53.6,44.96
Adrar,MR,0,1582761317,11,20.5,-10.07,68.58,11.1
Santiago del Estero,AR,0,1582761317,34,-27.8,-64.26,75.52,7.02
Vaini,TO,40,1582761317,70,-21.2,-175.2,86.0,9.17
Ramnagar,IN,67,1582761317,76,29.4,79.12,54.36,3.94
Poum,NC,0,1582761317,76,-20.23,164.02,80.8,14.2
Tasiilaq,GL,100,1582761317,85,65.61,-37.64,10.4,10.29
Bluff,NZ,99,1582761317,72,-46.6,168.33,63.0,18.01
Cape Town,ZA,20,1582761318,77,-33.93,18.42,66.99,17.22
Codrington,AU,100,1582761318,76,-38.27,141.97,59.41,24.4
Avarua,CK,69,1582761035,100,-21.21,-159.78,75.2,9.42
Teguise,ES,40,1582761318,68,29.06,-13.56,66.2,14.99
Mar del Plata,AR,63,1582761117,43,-38.0,-57.56,69.8,3.36
Shahr-e Bābak,IR,0,1582761318,45,30.12,55.12,42.51,6.44
Sur,OM,0,1582761318,55,22.57,59.53,72.99,4.94
Viradouro,BR,75,1582761319,94,-20.87,-48.3,73.4,3.36
Souillac,MU,75,1582761319,88,-20.52,57.52,80.6,6.93
Isangel,VU,75,1582761319,74,-19.55,169.27,86.0,5.82
Lastoursville,GA,100,1582761319,98,-0.81,12.73,72.75,2.95
Erenhot,CN,30,1582761319,72,43.65,111.98,22.32,5.99
Pyaozerskiy,RU,51,1582761319,76,65.83,31.17,12.0,6.4
Manakara,MG,37,1582761319,87,-22.13,48.02,67.32,5.66
Bredasdorp,ZA,42,1582761320,82,-34.53,20.04,63.0,4.7
Conselheiro Pena,BR,60,1582761197,84,-19.17,-41.47,77.29,2.06
Upernavik,GL,71,1582761320,65,72.79,-56.15,-20.04,1.68
Chokurdakh,RU,100,1582761320,91,70.63,147.92,7.59,13.47
Otjiwarongo,NA,88,1582761320,100,-20.46,16.65,68.0,7.61
Udachny,RU,21,1582761320,77,66.42,112.4,3.2,2.24
Saint-Philippe,RE,20,1582761320,83,-21.36,55.77,77.0,4.7
Hobart,AU,75,1582761320,51,-42.88,147.33,62.01,17.22
Saint Paul Harbor,US,90,1582761321,74,57.79,-152.41,35.6,13.87
Carnarvon,AU,90,1582761200,94,-24.87,113.63,77.0,16.11
Aswān,EG,0,1582761321,44,24.09,32.91,57.2,4.7
Narsaq,GL,51,1582761321,79,60.92,-46.05,19.4,6.93
Quatre Cocos,MU,75,1582761321,88,-20.21,57.76,80.6,6.93
Ōfunato,JP,75,1582761321,74,39.07,141.72,33.8,10.29
Tual,ID,63,1582761321,78,-5.67,132.75,83.66,9.98
Jacareacanga,BR,100,1582761322,97,-6.22,-57.75,75.0,1.86
Porto Velho,BR,20,1582761125,70,-8.76,-63.9,86.0,3.36
Santa Marta,CO,20,1582761322,52,11.24,-74.2,89.6,16.11
Kyabé,TD,6,1582761322,20,9.45,18.94,76.17,4.09
Loei,TH,100,1582761322,93,17.42,101.5,64.99,2.24
Sapouy,BF,0,1582761322,14,11.55,-1.77,75.65,5.39
Kourou,GF,65,1582761322,83,5.16,-52.65,73.4,2.24
Suntar,RU,25,1582761322,96,62.14,117.63,-0.85,2.93
Hermanus,ZA,50,1582761322,88,-34.42,19.23,66.99,9.19
George Town,MY,20,1582761323,74,5.41,100.34,78.8,3.36
San Patricio,MX,20,1582761323,78,19.22,-104.7,80.6,11.41
Araçatuba,BR,75,1582761323,94,-21.21,-50.43,77.0,2.24
Valdivia,CL,0,1582761323,56,-39.81,-73.25,69.8,4.7
Port Augusta,AU,90,1582761323,59,-32.5,137.77,64.4,13.87
Cockburn Town,TC,0,1582761142,78,21.46,-71.14,75.94,17.47
Kiryat Gat,IL,0,1582761323,87,31.61,34.76,53.01,2.24
Nioaque,BR,13,1582761323,89,-21.14,-55.83,73.17,3.6
Kalabo,ZM,100,1582761324,96,-14.97,22.68,68.36,8.3
Atuona,PF,20,1582761324,80,-9.8,-139.03,81.34,14.09
